"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
3d05c45a-b338-46fb-81fb-ddd555690d53,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
501c44a5-b979-48fb-bbf0-4a1af90305e5,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,15.0
7a0b334b-217f-4e48-96cd-6879bd3ba0ef,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
7ba5c4cb-b0f1-44f8-9ce2-28de763e6281,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
83639ac2-1db1-4c51-9b54-d60ccfef6a49,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
8abe1a03-7fee-4d76-8fdb-eadba2866a0e,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,20.0
a1069000-f5fd-47bd-9ea1-c1c69da8cb7a,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
b66adf78-8322-4dc5-bbd5-c9f8ee53b521,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,5.0
bfb52d3c-4929-4a40-ae53-ba1d527ebe56,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,35.0
f1954a4e-5c77-4f3c-ada0-00a5a50e6fa9,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,10.0
f4322fbd-d662-47da-bae3-028f79cb97aa,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,15.0
f54fada7-9150-4303-89fe-34c55406db7c,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",0b96f68f-721e-4140-b86a-6ff3f0ef993f,"#N/A",3.0,false,50.0
