"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
05aedb36-6fcc-4a2a-b326-1f9589a03250,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvKAAW::QuoteCalculator,"#N/A","#N/A"
2cfb7e96-72d9-470d-a1c1-b16a98668184,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvJAAW::QuoteCalculator,"#N/A","#N/A"
3aeda94d-03a9-4ef0-abdf-dd12ff6daaed,false,"#N/A",7075e00000RhMD0,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
6b8c8775-4d27-4579-8bc1-70ec9501fdd9,true,"#N/A",7075e00000Rt7Fp,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
73878bfd-9855-43ef-9d91-5e6f8cf7cf51,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
84ff400c-b26b-4512-8be8-1fed0129134c,false,"#N/A",7075e00000RhMD2,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
90ef778c-8530-484f-8088-282ae5745819,true,"#N/A",7075e00000Rt7Fo,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
93ad1972-04d5-4f20-8721-a9ab66bf2358,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvNAAW::QuoteCalculator,"#N/A","#N/A"
a9aa0dad-e0ff-4846-a811-beb8c84ee1db,false,"#N/A",7075e00000RhMD1,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
a9ca8217-bacb-4185-a707-64d6bf2ab189,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvLAAW::QuoteCalculator,"#N/A","#N/A"
c222423f-3232-4f35-8516-b208d160ffbb,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvIAAW::QuoteCalculator,"#N/A","#N/A"
cc282ddf-b76e-4b6c-86dc-68e2e1d79bc4,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
ec26b3d3-7a01-4fb7-916d-7a2e7f82b3c3,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
f0c38faf-237a-49d6-b453-edb6aef6ae78,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvMAAW::QuoteCalculator,"#N/A","#N/A"
f4eaccf2-f85c-41d1-af04-80bfcef79aa7,false,"#N/A",7076w00000RAzSG,"#N/A",a346w000000FHvHAAW::QuoteCalculator,"#N/A","#N/A"
